pid,birthyr,age,male1,educ,faminc,region,trump
7,1949,69,1,4,11,4,99
1,1963,55,1,3,3,4,3
NA,1968,50,2,2,1,3,4
6,1998,20,2,2,2,1,91
4,1977,41,2,5,4,1,1
NA,1995,23,2,4,2,3,43
5,1936,82,1,2,NA,2,40
2,1960,58,1,3,11,4,1
1,1966,52,1,5,12,3,6
2,1965,53,1,3,2,2,5
6,1930,88,1,3,6,2,39
1,1986,32,2,6,1,3,0
7,1949,69,1,5,9,4,100
2,1995,23,2,5,8,3,0
1,1952,66,2,3,8,3,5
2,1961,57,1,5,8,1,3
7,1994,24,2,2,1,3,100
4,1966,52,2,5,10,3,3
2,1957,61,2,2,9,2,0
4,1962,56,2,3,8,3,97
1,1962,56,2,3,6,3,46
7,1965,53,2,3,9,4,45
2,1959,59,2,3,2,3,6
2,1988,30,2,2,5,3,2
7,1955,63,1,5,NA,2,71
7,1953,65,2,6,11,4,90
6,1942,76,2,2,5,2,63
4,1970,48,2,5,11,4,63
4,1957,61,2,2,2,2,100
4,1951,67,1,3,8,2,93
4,1994,24,2,2,3,3,99
3,1979,39,2,3,4,2,1
1,1966,52,2,4,7,3,0
3,1976,42,2,3,4,3,0
6,1987,31,2,5,6,4,40
1,1956,62,1,6,8,1,1
7,1956,62,1,5,15,1,68
6,1946,72,2,6,9,3,78
1,1984,34,2,6,10,4,1
3,1941,77,2,5,13,3,14
3,1970,48,2,2,2,4,85
7,1957,61,1,2,10,2,100
5,1983,35,2,3,3,2,67
7,1964,54,2,2,3,2,100
7,1935,83,2,2,3,4,100
3,1992,26,2,3,7,4,7
1,1971,47,2,4,4,2,1
1,1959,59,2,6,14,2,0
1,1985,33,1,5,11,3,3
1,1931,87,2,4,NA,3,4
5,1963,55,2,6,5,1,85
NA,1969,49,2,2,NA,3,0
7,1973,45,2,4,8,3,97
2,1995,23,2,3,3,3,49
4,1976,42,2,6,8,1,100
5,1959,59,2,4,3,3,100
1,1964,54,1,2,3,4,2
1,1994,24,2,5,5,1,0
NA,1953,65,2,2,2,2,1
7,1956,62,1,3,11,4,98
1,1953,65,1,5,3,3,0
